,제목,URL,신문사,작성일,세부내용,url
45,"태영호 또 막말 논란…""Junk Money Sex, JMS 민주당""",,프레시안,2023.04.17,"'4.3 김일성 개입설' 이어 신임 윤리위원장 임명 첫날 또 실언…윤리위 판단은? 태영호 국민의힘 최고위원이 페이스북에 ""Junk Money Sex 민주당, 역시 JMS 민주당""이라고 막말에 가까운 상대 정당 비난을",https://n.news.naver.com/mnews/article/002/0002282761?sid=100
46,"'JMS 민주당' 또 막말 논란…與 태영호 ""윤리위 심사 요청""",,더팩트,2023.04.18,"""보좌진 실수로 '전체보기' 상태로 공개돼"" 野 ""정치 오염 시킨 책임지고 국회 떠나라"" 태영호 국민의힘 최고위원이 더불어민주당을 종교단체 'JMS'(기독교복음선교회)에 빗대어 비난했다가 논란이 일자 스스로 당 윤리",https://n.news.naver.com/mnews/article/629/0000212232?sid=100
47,"태영호, ‘쓰레기·돈·섹스(JMS) 민주당’ 빛삭 논란 일파만파…野 “저급함 그 자체”",,디지털타임스,2023.04.18,태영호 국민의힘 최고위원이 더불어민주당을 겨냥해 JMS(Junk·Money·Sex)를 언급해 또 '막말 논란'에 휘말렸다. 논란이 커지자 태영호 최고위원은 스스로 당 윤리위원회에 심사를 요청하겠다고 고개를 숙였다. ,https://n.news.naver.com/mnews/article/029/0002795258?sid=100
48,'JMS 민주당' 태영호 징계 수위…총선 영향주나,,아시아경제,2023.04.18,국민의힘이 태영호 국민의힘 최고위원의 설화로 또다시 난감한 상황에 부닥쳤다. 출범을 앞둔 당 윤리위원회에서 태 최고위원에 대한 징계 여부가 논의될 것으로 보인다. 관건은 내년 총선 출마 여부까지 여파를 미칠 수 있는,https://n.news.naver.com/mnews/article/277/0005246942?sid=100
49,"강선우 ""JMS 또 언급한 태영호, 애정있나...與 조치 지켜볼 것""",,중앙일보,2023.04.18,강선우 더불어민주당 대변인이 태영호 국민의힘 의원을 상대로 “너무 저속하다”고 비판하며 “여당이 태 의원을 어떻게 처리할지 지켜보겠다”고 말했다. 강 대변인은 17일 오후 CBS라디오 ‘박재홍의 한판승부’에서 이날 ,https://n.news.naver.com/mnews/article/025/0003273885?sid=100
50,"""저급함 그 자체""… 민주당, 태영호 발언에 강력한 비판",,머니S,2023.04.18,"더불어민주당이 태영호 국민의힘 최고위원의 막말 논란에 대해 강한 유감을 표했다. 지난 17일 권칠승 민주당 수석대변인은 국회 소통관 기자회견에서 ""태 최고위원이 자신의 SNS에 민주당을 겨냥한 막말을 올렸다""며 ""그",https://n.news.naver.com/mnews/article/417/0000913691?sid=100
51,"태영호, 또 'JMS' 막말 논란…""윤리위 심사 자진 요청""",,MBN,2023.04.18,"태영호 국민의힘 최고위원이 더불어민주당을 신도 성폭행 논란을 빚은 기독교복음선교회, JMS에 비유해 구설에 올랐습니다. 태 최고위원은 보좌진의 실수라고 사과하면서 당 윤리위원회 심사를 요청하겠다고 고개를 숙였습니다.",https://n.news.naver.com/mnews/article/057/0001736353?sid=100
52,"'민주당 원색비난' 태영호, 윤리위 심사 요청…지도부와 상의 관측",,뉴시스,2023.04.17,"기사내용 요약 논란에 ""조치 달게 받겠다→윤리위 심사 요청"" 김기현 언행 경고에 부담…셀프 심사요청 결정 ""윤리위 구성 마무리되는대로 심사 요청 계획"" [서울=뉴시스] 정성원 기자 = 태영호 국민의힘 최고위원이 17",https://n.news.naver.com/mnews/article/003/0011808416?sid=100
53,"강선우 ""태영호 너무 저속…성착취 JMS에 남다른 애정이 있는 듯""",,뉴스1,2023.04.18,"박태훈 선임기자 = 강선우 더불어민주당 대변인은 ""태영호 국민의힘 의원이 너무나 저속하다""며 여당이 태 의원을 어떻게 처리할지 지켜보겠다고 했다. 강 대변인은 17일 밤 CBS라디오 '박재홍의 한판승부'에서 이날 태",https://n.news.naver.com/mnews/article/421/0006753333?sid=100
54,"태영호, 이번엔 막말 논란…""민주당 쓰레기·돈·성"" 원색 비난 뒤 삭제·사과(종합)",,뉴시스,2023.04.17,"기사내용 요약 민주 돈봉투 전대·성비위 겨냥 해석 김기현 경고에도 또다시 설화 논란 ""당에 누 끼쳐…조치 달게 받을 것"" [서울=뉴시스] 정성원 기자 = 태영호 국민의힘 최고위원이 17일 페이스북에 전당대회 돈봉투 ",https://n.news.naver.com/mnews/article/003/0011807989?sid=100
55,"'JMS민주당' 태영호 ""보좌진 실수로…당 조치 달게 받겠다""",,이데일리,2023.04.17,태영호 국민의힘 최고위원은 17일 더불어민주당을 종교단체 ‘JMS’(기독교복음선교회)에 빗대며 비난한 것과 관련해 “보좌진의 실수였다”고 해명했다. 태 최고위원은 이날 오전 자신의 사회관계망서비스(SNS)에서 민주당,https://n.news.naver.com/mnews/article/018/0005465785?sid=100
56,"""민주당=JMS"" 논란 태영호, 與윤리위 '셀프 회부' 요청 배경은",,중앙일보,2023.04.17,‘더불어민주당=JMS’라는 취지의 글을 소셜미디어에 게시했다가 논란을 빚은 태영호 국민의힘 최고위원이 17일 당 윤리위원회 회부를 자진 요청했다. 태 최고위원은 이날 오후 페이스북에 “당에 누를 끼친 데 대해 죄송스,https://n.news.naver.com/mnews/article/025/0003273711?sid=100
57,"태영호 “‘Junk Money Sex 민주당’, 보좌진이 올린 것···윤리위 심사받겠다”",,경향신문,2023.04.17,"태영호 국민의힘 최고위원이 17일 자신의 사회관계망서비스(SNS)에 올렸다가 삭제한 “Junk Money Sex 민주당, 역시 JMS 민주당”이라는 문구에 대해 “의원실 보좌진들이 해당 메시지를 업로드하기로 결정하고",https://n.news.naver.com/mnews/article/032/0003217822?sid=100
58,"""쓰레기·돈·성 민주당"" 태영호 '또' 막말 논란에 공식 사과",,노컷뉴스,2023.04.17,"국민의힘 태영호 최고위원이 전당대회 돈봉투 의혹이 불거진 더불어민주당을 향해 ""쓰레기(Junk) 돈(Money) 성(Sex). 역시 JMS민주당""이라는 글을 올렸다가 삭제한 후 공식 사과했다. 태 최고위원은 17일 ",https://n.news.naver.com/mnews/article/079/0003760195?sid=100
59,"민주당, 'JMS 민주당' 태영호 막말에 ""국회 떠나라""",,이데일리,2023.04.17,더불어민주당은 17일 태영호 국민의힘 최고위원의 ‘JMS(Junk Money Sex) 민주당’ 막말 논란에 대해 “윤리위 징계에 그칠 사안이 아니고 국회를 떠나야 한다”고 비판했다. 태영호 국민의힘 최고위원. (사진,https://n.news.naver.com/mnews/article/018/0005465992?sid=100
60,"태영호 '민주당 쓰레기·돈·성(JMS)' 게시물 논란에 ""실수로 전체보기"" 해명",,파이낸셜뉴스,2023.04.17,"국민의힘 지도부가 또다시 설화 논란에 휩싸였다. 태영호 최고위원이 17일 페이스북에 더불어민주당을 겨냥, ""쓰레기(Junk) 돈(Money) 성(Sex) 민주당. 역시 JMS 민주당""이라는 글을 남기면서다. 태 위원",https://n.news.naver.com/mnews/article/014/0004998131?sid=100
61,태영호 “쓰레기·돈·섹스 JMS 민주당” 막말…“비공개 글이었다” 해명,,서울신문,2023.04.17,태영호 국민의힘 최고위원이 이번엔 전당대회 돈봉투 의혹에 휘말린 더불어민주당을 ‘JMS 민주당’이라고 비난했다가 논란이 일자 “비공개 메시지였다”고 해명했다. 17일 오전 태 의원 페이스북에는 이른바 ‘쩐대’ 의혹이,https://n.news.naver.com/mnews/article/081/0003354362?sid=100
62,"또 '막말' 與 태영호 ""당에 누 끼쳐…윤리위 심사 요청할 것""",,연합뉴스,2023.04.17,"페북에 '자극적 표현' 野 비판글 올렸다가 삭제…""보좌진 실수"" 해명 국민의힘 태영호 최고위원이 17일 자신의 SNS 게시물로 '막말 논란'이 생긴 데 대해 사과하고, 스스로 당 윤리위원회에 심사를 요청하겠다고 밝혔",https://n.news.naver.com/mnews/article/001/0013886105?sid=100
63,"태영호 또 '설화'에 사과… ""쓰레기·돈·성, JMS민주당"" 비난글 삭제",,여성신문,2023.04.17,"17일 페이스북에 관련 게시글 올렸다가 삭제 태영호 국민의힘 최고위원이 17일 페이스북에 전당대회 돈봉투 의혹이 불거진 더불어민주당을 향해 ""쓰레기(Junk) 돈(Money) 성(Sex) 민주당. 역시 JMS 민주당",https://n.news.naver.com/mnews/article/310/0000105939?sid=100
64,국힘 ‘부끄러운 입’ 태영호 “쓰레기·돈·섹스 민주당” 또 막말,,한겨레,2023.04.17,"태영호 국민의힘 최고위원이 17일 페이스북에 “Junk Money Sex 민주당, 역시 JMS 민주당”이라고 적었다. ‘2021년 전당대회 돈봉투 의혹’이 이는 더불어민주당을 겨냥한 말로 보인다. 태 최고위원은 이 ",https://n.news.naver.com/mnews/article/028/0002636047?sid=100
