순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
29,김관장 대 김관장 대 김관장,2007-02-08,0,0.0%,"1,025,618",76,한국,한국,(주)쇼박스
30,상사부일체,2007-09-19,0,0.0%,"947,510",64,한국,한국,이십세기폭스코리아(주)
31,마이 파더,2007-09-06,0,0.0%,"902,090",83,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
32,내 사랑,2007-12-18,0,0.0%,"815,023",56,한국,한국,(주)쇼박스
33,두 얼굴의 여친,2007-09-13,0,0.0%,"762,112",80,한국,한국,(주)쇼박스
34,로보트 태권 V,1977-04-08,0,0.0%,"705,207",35,한국,한국,
35,리턴,2007-08-08,0,0.0%,"677,939",50,한국,한국,CJ ENM
36,해부학 교실,2007-07-11,0,0.0%,"622,400",47,한국,한국,영화사청어람(주)
37,동갑내기 과외하기 레슨 2,2007-04-19,0,0.0%,"566,498",48,한국,한국,CJ ENM
38,용의주도 미스신,2007-12-18,0,0.0%,"552,825",41,한국,한국,(주)싸이더스
39,사랑방 선수와 어머니,2007-08-08,0,0.0%,"541,236",51,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
40,아들,2007-05-01,0,0.0%,"488,221",62,한국,한국,(주)시네마서비스
41,천년여우 여우비,2007-01-25,0,0.0%,"482,988",25,한국,한국,CJ ENM
42,내 생애 최악의 남자,2007-08-30,0,0.0%,"470,548",58,한국,한국,CJ ENM
43,전설의 고향,2007-05-23,0,0.0%,"402,117",40,한국,한국,(주)프라임엔터테인먼트
44,날아라 허동구,2007-04-26,0,0.0%,"396,811",60,한국,한국,(주)쇼박스
45,싸움,2007-12-12,0,0.0%,"381,282",76,한국,한국,(주)시네마서비스
46,우리 동네,2007-11-29,,0.0%,"377,591",51,한국,한국,"CJ ENM,(주)시네마서비스"
47,쏜다,2007-03-14,0,0.0%,"365,684",45,한국,한국,(주)쇼박스
48,열한번째 엄마,2007-11-29,0,0.0%,"350,204",49,한국,한국,(주)쇼박스
49,좋지 아니한가,2007-03-01,0,0.0%,"321,654",41,한국,한국,"(주)시네마서비스,CJ ENM"
50,스카우트,2007-11-14,0,0.0%,"315,187",62,한국,한국,CJ ENM
51,어깨 너머의 연인,2007-10-18,0,0.0%,"301,153",46,한국,한국,(주)쇼박스
53,눈부신 날에,2007-04-19,0,0.0%,"285,825",55,한국,한국,(주)시네마서비스
